ticker,status,reason
MSFT,no_trade,kein Setup
AAPL,no_trade,kein Setup
AMZN,no_trade,kein Setup
GOOGL,no_trade,kein Setup
META,no_trade,kein Setup
NVDA,no_trade,kein Setup
AMD,no_trade,kein Setup
AVGO,no_trade,kein Setup
ASML,no_trade,kein Setup
TSM,no_trade,kein Setup
CRWD,no_trade,kein Setup
PANW,no_trade,kein Setup
FTNT,no_trade,kein Setup
ZS,no_trade,kein Setup
SYM,no_trade,kein Setup
ISRG,no_trade,kein Setup
TER,no_trade,kein Setup
ROK,no_trade,kein Setup
HON,no_trade,kein Setup
ABB,skip,zu wenig Daten
NEE,no_trade,kein Setup
FSLR,no_trade,kein Setup
ENPH,no_trade,kein Setup
LMT,no_trade,kein Setup
RTX,no_trade,kein Setup
LLY,no_trade,kein Setup
NVO,no_trade,kein Setup
